Date,Open,High,Low,Close,Volume,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,ema20,ema250,upper_shadow,RSI20,RSI10,avg_Volume,MB,STD,UB,MF,MF3d_direction,MF5d_direction,prev_High,prev_Low,prev_Close,prev_Open,prev_Vol,prev_upper_shadow,prev_avg_Volume,prev_ema20,prev_ema250,couple_cs_signal,ema20_250_cross_signal,allow_entry
2025-10-16 09:10:00,2018.9,2020.9,2017.5,2020.6,3373,2026.0,2009.0,2012.7,2021.5,226174,9,10,2020.3674169303902,1986.888159626938,0.3000000000001819,49.632285634802656,50.65395239990581,6453.25,2019.9099999999999,2.979208655146381,2024.3788129827194,2777.764705882008,344179.26098740543,563574.1595369326,2020.7,2018.6,2018.6,2020.4,2226.0,0.2999999999999545,6518.3,2020.3429345020102,1986.6173817926162,0,0,3
2025-10-16 09:15:00,2020.4,2021.6,2019.5,2021.1,4491,2026.0,2009.0,2012.7,2021.5,226174,9,15,2020.4371867465434,1987.1607639326996,0.5,50.23332288494735,51.83452859471076,6398.1,2019.9150000000002,2.9812175189190113,2024.3868262783787,2352.428571428479,345896.54062266386,560265.5881083615,2020.9,2017.5,2020.6,2018.9,3373.0,0.3000000000001819,6453.25,2020.3674169303902,1986.888159626938,0,0,3
2025-10-16 09:20:00,2021.1,2021.3,2014.1,2016.2,9273,2026.0,2009.0,2012.7,2021.5,226174,9,20,2020.0336451516343,1987.3921522678972,0.20000000000004547,44.72745480709899,41.12185422551765,6622.5,2019.6650000000002,3.0759294701984494,2024.2788942052978,3863.7499999996826,350813.82908420195,564129.3381083611,2021.6,2019.5,2021.1,2020.4,4491.0,0.5,6398.1,2020.4371867465434,1987.1607639326996,0,0,0
2025-10-16 09:25:00,2016.1,2020.4,2015.3,2019.6,6471,2026.0,2009.0,2012.7,2021.5,226174,9,25,2019.9923456133836,1987.6487885048064,0.8000000000001819,48.82436431876996,49.21399017919623,6719.2,2019.67,3.0757284118611743,2024.2835926177918,4440.882352940769,351648.7114371427,567700.4426835245,2021.3,2014.1,2016.2,2021.1,9273.0,0.20000000000004547,6622.5,2020.0336451516343,1987.3921522678972,0,0,3
2025-10-16 09:30:00,2019.6,2020.0,2018.2,2018.6,3052,2026.0,2009.0,2012.7,2021.5,226174,9,30,2019.8597412692518,1987.8954117039714,0.40000000000009095,47.729078571688675,47.09857606850476,6613.7,2019.5,3.0338441829941725,2024.0507662744913,1695.555555555984,349599.6816268452,566783.9112825585,2020.4,2015.3,2019.6,2016.1,6471.0,0.8000000000001819,6719.2,2019.9923456133836,1987.6487885048064,0,0,0
2025-10-16 09:35:00,2018.6,2024.9,2018.5,2020.1,7635,2026.0,2009.0,2012.7,2021.5,226174,9,35,2019.8826230531326,1988.1520219692784,4.800000000000182,49.517219562501616,50.63507894099909,6621.95,2019.6350000000002,2.9953077340107734,2024.1279616010163,-3817.500000000271,342999.0092130518,561775.7446158916,2020.0,2018.2,2018.6,2019.6,3052.0,0.40000000000009095,6613.7,2019.8597412692518,1987.8954117039714,0,0,3
2025-10-16 09:40:00,2020.3,2022.5,2019.1,2019.3,4239,2026.0,2009.0,2012.7,2021.5,226174,9,40,2019.8271351433104,1988.4002130292843,2.2000000000000455,48.58415566613827,48.70559262154195,6667.05,2019.7,2.971974357110042,2024.1579615356652,3740.294117646959,340746.70333069895,562819.1296426294,2024.9,2018.5,2020.1,2018.6,7635.0,4.800000000000182,6621.95,2019.8826230531326,1988.1520219692784,0,0,0
2025-10-16 09:45:00,2019.4,2022.1,2018.5,2022.1,3652,2026.0,2009.0,2012.7,2021.5,226174,9,45,2020.043598462995,1988.668737228254,0.0,51.921855464182315,55.32581244480932,6607.95,2020.0199999999998,2.8611002668929904,2024.3116504003392,3652.0,337592.9033306986,564361.7158495261,2022.5,2019.1,2019.3,2020.3,4239.0,2.2000000000000455,6667.05,2019.8271351433104,1988.4002130292843,0,0,3
2025-10-16 09:50:00,2022.1,2022.9,2020.7,2021.9,3199,2026.0,2009.0,2012.7,2021.5,226174,9,50,2020.2203986093766,1988.9335281666745,0.8000000000001819,51.66966173834664,54.76485004614537,6379.6,2020.3149999999998,2.7257591893394677,2024.403638784009,-290.81818181824195,333097.79625999165,560471.6249404355,2022.1,2018.5,2022.1,2019.4,3652.0,0.0,6607.95,2020.043598462995,1988.668737228254,0,0,3
2025-10-16 09:55:00,2022.0,2022.2,2019.0,2019.6,2852,2026.0,2009.0,2012.7,2021.5,226174,9,55,2020.1613130275312,1989.177882523912,0.20000000000004547,48.800328092770584,48.48347119455463,6228.9,2020.435,2.6326442581267693,2024.3839663871902,1782.5000000001774,332340.60395229957,553993.1249404358,2022.9,2020.7,2021.9,2022.1,3199.0,0.8000000000001819,6379.6,2020.2203986093766,1988.9335281666745,0,0,3
2025-10-16 10:00:00,2019.6,2021.6,2017.5,2019.0,4954,2026.0,2009.0,2012.7,2021.5,226174,10,0,2020.0507117868137,1989.4155089579847,2.0,48.06734264120449,46.923472850857955,6274.45,2020.4449999999997,2.6264795329901744,2024.384719299485,1329.1219512194316,329547.725903519,545160.4287098361,2022.2,2019.0,2019.6,2022.0,2852.0,0.20000000000004547,6228.9,2020.1613130275312,1989.177882523912,0,0,0
2025-10-16 10:05:00,2019.2,2021.0,2018.3,2019.0,2660,2026.0,2009.0,2012.7,2021.5,226174,10,5,2019.9506439975933,1989.6512419543355,1.7999999999999545,48.0673426412045,46.92347285085796,6009.25,2020.3149999999998,2.6306443077805226,2024.2609664616707,1280.7407407406745,331096.38972118293,537559.1694505768,2021.6,2017.5,2019.0,2019.6,4954.0,2.0,6274.45,2020.0507117868137,1989.4155089579847,0,0,0
2025-10-16 10:10:00,2019.3,2019.9,2017.5,2017.6,2143,2026.0,2009.0,2012.7,2021.5,226174,10,10,2019.7267731406796,1989.8739412216316,0.6000000000001364,46.270514597425496,42.94316848621522,5527.95,2019.8100000000002,2.0419031371309075,2022.8728547056965,1964.4166666668357,331763.3853352181,529214.9923672435,2021.0,2018.3,2019.0,2019.2,2660.0,1.7999999999999545,6009.25,2019.9506439975933,1989.6512419543355,0,0,0
2025-10-16 10:15:00,2017.6,2018.8,2016.3,2017.1,2886,2026.0,2009.0,2012.7,2021.5,226174,10,15,2019.4766042701388,1990.090881929029,1.2000000000000455,45.629277907889694,41.54473570668609,4997.6,2019.39,1.6328534921072826,2021.839280238161,1038.960000000105,332802.34533521824,521597.4277770798,2019.9,2017.5,2017.6,2019.3,2143.0,0.6000000000001364,5527.95,2019.7267731406796,1989.8739412216316,0,0,0
