Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-14 09:00:00,2013.0,2018.8,2013.0,2017.4,6374,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,0,
2025-10-14 09:05:00,2017.6,2020.3,2017.4,2020.1,3678,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,5,
2025-10-14 09:10:00,2020.0,2025.5,2019.9,2023.3,6401,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,10,
2025-10-14 09:15:00,2023.3,2027.8,2021.4,2026.8,7514,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,15,
2025-10-14 09:20:00,2026.8,2028.0,2025.0,2025.3,4523,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,20,
2025-10-14 09:25:00,2025.3,2032.2,2024.3,2032.0,6588,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,25,
2025-10-14 09:30:00,2032.2,2039.8,2031.6,2038.0,10900,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,30,short
2025-10-14 09:35:00,2038.0,2038.9,2033.2,2034.7,6744,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,35,short
2025-10-14 09:40:00,2034.9,2035.3,2031.8,2031.9,3781,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,40,
2025-10-14 09:45:00,2031.9,2032.8,2028.0,2029.2,6533,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,45,
2025-10-14 09:50:00,2029.1,2033.8,2028.3,2031.0,4850,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,50,
2025-10-14 09:55:00,2031.0,2035.3,2031.0,2034.4,4947,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,9,55,short
2025-10-14 10:00:00,2034.3,2034.4,2028.0,2031.4,7683,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,10,0,
